date,virus,Sample Name,template,num_reps,median,count,at_least_3CTvals,Well,Well Position,CT,Replicate,sample_type,medDist1_method,count2,at_least_3CTvals_aftOut
03-24,WSSV,1e2_Pvan010,1e+02,3,16.9002,3,keep,55,E7,16.9002,1,STD,keep,1,remove
03-24,WSSV,1e2_Pvan019,1e+02,3,11.218311,1,remove,58,E10,11.218311,1,STD,NA,NA,NA
03-24,WSSV,1e2_Pvan019,1e+02,3,11.218311,1,remove,59,E11,NA,2,STD,NA,NA,NA
03-24,WSSV,1e2_Pvan019,1e+02,3,11.218311,1,remove,60,E12,NA,3,STD,NA,NA,NA
03-24,WSSV,1e2_VP28,1e+02,3,NA,0,remove,53,E5,NA,2,STD,NA,NA,NA
03-24,WSSV,1e2_VP28,1e+02,3,NA,0,remove,52,E4,NA,1,STD,NA,NA,NA
03-24,WSSV,1e2_VP28,1e+02,3,NA,0,remove,54,E6,NA,3,STD,NA,NA,NA
03-24,WSSV,1e2_VP28.31t,1e+02,3,NA,0,remove,51,E3,NA,3,STD,NA,NA,NA
03-24,WSSV,1e2_VP28.31t,1e+02,3,NA,0,remove,49,E1,NA,1,STD,NA,NA,NA
03-24,WSSV,1e2_VP28.31t,1e+02,3,NA,0,remove,50,E2,NA,2,STD,NA,NA,NA
03-24,WSSV,1e3_Pvan010,1e+03,3,8.898282,3,keep,43,D7,9.940535,1,STD,remove,2,NA
03-24,WSSV,1e3_Pvan010,1e+03,3,8.898282,3,keep,45,D9,8.898282,3,STD,keep,2,keep
03-24,WSSV,1e3_Pvan010,1e+03,3,8.898282,3,keep,44,D8,8.868397,2,STD,keep,2,keep
03-24,WSSV,1e3_Pvan019,1e+03,3,10.381134,3,keep,48,D12,10.381134,3,STD,keep,2,keep
03-24,WSSV,1e3_Pvan019,1e+03,3,10.381134,3,keep,47,D11,11.058947,2,STD,keep,2,keep
03-24,WSSV,1e3_Pvan019,1e+03,3,10.381134,3,keep,46,D10,8.83781,1,STD,remove,2,NA
03-24,WSSV,1e3_VP28,1e+03,3,NA,0,remove,41,D5,NA,2,STD,NA,NA,NA
03-24,WSSV,1e3_VP28,1e+03,3,NA,0,remove,40,D4,NA,1,STD,NA,NA,NA
03-24,WSSV,1e3_VP28,1e+03,3,NA,0,remove,42,D6,NA,3,STD,NA,NA,NA
03-24,WSSV,1e3_VP28.31t,1e+03,3,NA,0,remove,39,D3,NA,3,STD,NA,NA,NA
03-24,WSSV,1e3_VP28.31t,1e+03,3,NA,0,remove,37,D1,NA,1,STD,NA,NA,NA
03-24,WSSV,1e3_VP28.31t,1e+03,3,NA,0,remove,38,D2,NA,2,STD,NA,NA,NA
03-24,WSSV,1e4_Pvan010,1e+04,3,7.662532,3,keep,33,C9,7.6298075,3,STD,keep,3,keep
03-24,WSSV,1e4_Pvan010,1e+04,3,7.662532,3,keep,32,C8,7.662532,2,STD,keep,3,keep
03-24,WSSV,1e4_Pvan010,1e+04,3,7.662532,3,keep,31,C7,7.7595916,1,STD,keep,3,keep
03-24,WSSV,1e4_Pvan019,1e+04,3,8.094749,3,keep,36,C12,8.094749,3,STD,keep,3,keep
03-24,WSSV,1e4_Pvan019,1e+04,3,8.094749,3,keep,34,C10,8.629673,1,STD,keep,3,keep
03-24,WSSV,1e4_Pvan019,1e+04,3,8.094749,3,keep,35,C11,7.7679405,2,STD,keep,3,keep
03-24,WSSV,1e4_VP28,1e+04,3,NA,0,remove,29,C5,NA,2,STD,NA,NA,NA
03-24,WSSV,1e4_VP28,1e+04,3,NA,0,remove,30,C6,NA,3,STD,NA,NA,NA
03-24,WSSV,1e4_VP28,1e+04,3,NA,0,remove,28,C4,NA,1,STD,NA,NA,NA
03-24,WSSV,1e4_VP28.31t,1e+04,3,NA,0,remove,26,C2,NA,2,STD,NA,NA,NA
03-24,WSSV,1e4_VP28.31t,1e+04,3,NA,0,remove,25,C1,NA,1,STD,NA,NA,NA
03-24,WSSV,1e4_VP28.31t,1e+04,3,NA,0,remove,27,C3,NA,3,STD,NA,NA,NA
03-24,WSSV,1e5_Pvan010,1e+05,3,6.6328564,3,keep,19,B7,6.6977825,1,STD,keep,3,keep
