* Barcode = NA
* Block Type = Fast 96-Well Block (0.1mL)
* Calibration Background is expired  = No
* Calibration Background performed on = 02-18-2022
* Calibration Normalization FAM-ROX is expired = Yes
* Calibration Normalization FAM-ROX performed on = 01-27-2021
* Calibration Normalization VIC-ROX is expired = Yes
* Calibration Normalization VIC-ROX performed on = 01-27-2021
* Calibration Pure Dye FAM is expired = Yes
* Calibration Pure Dye FAM performed on = 01-27-2021
* Calibration Pure Dye ROX is expired = Yes
* Calibration Pure Dye ROX performed on = 01-27-2021
* Calibration Pure Dye VIC is expired = Yes
* Calibration Pure Dye VIC performed on = 01-27-2021
* Calibration ROI is expired  = No
* Calibration ROI performed on = 02-18-2022
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 01-27-2021
* Chemistry = TAQMAN
* Comment = NA
* Date Created = 02-23-2022 13:02:58 PM EST
* Date Modified = 02-23-2022 16:36:10 PM EST
* Experiment File Name = E:\2022-02-22 TSV high-low background.eds
* Experiment Name = 2022-02-22 TSV high-low background
* Experiment Run Start Time = 02-23-2022 23:14:49 PM EST
* Experiment Run Stop Time = 02-24-2022 00:48:46 AM EST
* Experiment Type = Standard Curve
* Instrument Name = 285881139
* Instrument Serial Number = 285881139
* Instrument Type = QuantStudio 12K Flex
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 1, Step 1
* User Name = NA

[Multicomponent Data]
Well	Well Position	Cycle	ROX	FAM	VIC
49	      E1	2	74,484.469	1,159,125.750	429,318.156
50	      E2	2	72,189.117	1,022,300.438	455,753.531
51	      E3	2	71,881.523	1,040,694.250	470,340.062
52	      E4	2	66,151.953	1,000,363.688	452,994.156
53	      E5	2	73,156.812	1,045,528.438	475,504.094
54	      E6	2	74,692.977	1,070,708.875	476,950.750
55	      E7	2			
56	      E8	2			
57	      E9	2			
58	      E10	2			
59	      E11	2			
60	      E12	2			
61	      F1	2	68,973.359	1,205,273.250	417,825.188
62	      F2	2	69,933.828	1,159,983.125	461,427.031
63	      F3	2	69,263.438	1,112,508.625	418,458.500
64	      F4	2			
65	      F5	2			
66	      F6	2			
67	      F7	2			
68	      F8	2			
69	      F9	2			
70	      F10	2			
71	      F11	2			
72	      F12	2			
73	      G1	2	50,683.777	1,055,114.125	371,343.844
74	      G2	2	70,605.555	1,089,323.250	404,835.406
75	      G3	2	65,953.938	1,060,545.000	404,836.625
76	      G4	2			
77	      G5	2			
78	      G6	2			
79	      G7	2			
80	      G8	2			
81	      G9	2			
82	      G10	2			
83	      G11	2			
84	      G12	2			
85	      H1	2	32,003.732	1,082,802.500	394,941.969
86	      H2	2	65,134.113	989,312.688	413,493.531
87	      H3	2	91,514.555	1,047,200.875	428,463.844
88	      H4	2			
89	      H5	2			
90	      H6	2			
91	      H7	2			
92	      H8	2			
93	      H9	2			
94	      H10	2			
95	      H11	2			
96	      H12	2			
1	      A1	3	75,351.375	1,681,083.500	482,038.469
2	      A2	3	73,080.273	1,724,625.875	460,972.750
3	      A3	3	78,957.164	1,814,097.250	513,628.875
4	      A4	3	74,729.742	1,737,182.750	498,563.156
5	      A5	3	79,603.609	1,784,934.625	517,006.219
6	      A6	3	86,124.422	1,772,428.375	517,946.531
7	      A7	3			
8	      A8	3			
9	      A9	3			
10	      A10	3			
11	      A11	3			
12	      A12	3			
13	      B1	3	71,437.695	1,788,943.875	477,856.219
14	      B2	3	72,700.414	1,827,550.250	499,426.000
15	      B3	3	71,370.461	1,798,454.375	496,949.625
16	      B4	3	62,840.359	1,688,772.000	472,414.312
17	      B5	3	95,331.570	1,675,492.625	661,495.125
18	      B6	3	76,953.953	1,664,621.000	489,174.281
19	      B7	3			
20	      B8	3			
21	      B9	3			
22	      B10	3			
23	      B11	3			
24	      B12	3			
25	      C1	3	72,689.750	1,766,409.375	458,629.406
26	      C2	3	72,194.148	1,771,281.750	501,503.844
27	      C3	3	72,494.359	1,733,793.625	440,307.531
28	      C4	3	72,192.336	1,793,800.375	462,939.844
29	      C5	3	61,861.625	1,639,730.125	445,793.531
30	      C6	3	67,387.453	1,651,022.375	453,233.938
31	      C7	3			
32	      C8	3			
33	      C9	3			
34	      C10	3			
35	      C11	3			
36	      C12	3			
37	      D1	3	68,951.055	1,606,348.000	416,532.469
38	      D2	3	61,787.012	1,682,034.125	401,258.906
39	      D3	3	62,312.352	1,625,167.375	398,195.938
40	      D4	3	69,897.508	1,548,716.125	478,953.250
41	      D5	3	60,557.707	1,603,997.250	418,518.094
42	      D6	3	63,733.238	1,595,915.375	434,651.531
43	      D7	3			
44	      D8	3			
45	      D9	3			
46	      D10	3			
47	      D11	3			
48	      D12	3			
49	      E1	3	73,010.930	1,715,387.000	435,733.188
50	      E2	3	70,953.555	1,507,203.875	465,560.750
51	      E3	3	71,663.891	1,524,797.250	478,795.375
52	      E4	3	65,165.984	1,470,103.375	460,255.250
53	      E5	3	71,898.602	1,537,062.000	483,857.500
54	      E6	3	73,150.125	1,570,439.375	483,048.250
55	      E7	3			
56	      E8	3			
57	      E9	3			
58	      E10	3			
59	      E11	3			
60	      E12	3			
61	      F1	3	67,460.188	1,769,651.375	420,198.781
62	      F2	3	68,383.570	1,686,832.625	468,923.062
63	      F3	3	68,243.055	1,619,199.375	421,949.156
64	      F4	3			
65	      F5	3			
66	      F6	3			
67	      F7	3			
68	      F8	3			
69	      F9	3			
70	      F10	3			
71	      F11	3			
72	      F12	3			
73	      G1	3	48,062.609	1,547,952.500	373,646.688
74	      G2	3	69,355.359	1,595,904.000	408,695.438
75	      G3	3	64,987.086	1,554,869.375	408,655.656
76	      G4	3			
77	      G5	3			
78	      G6	3			
79	      G7	3			
80	      G8	3			
81	      G9	3			
82	      G10	3			
83	      G11	3			
84	      G12	3			
85	      H1	3	28,821.141	1,580,021.875	400,349.125
86	      H2	3	63,754.242	1,450,062.750	421,993.156
87	      H3	3	92,826.570	1,531,299.875	436,463.656
88	      H4	3			
89	      H5	3			
90	      H6	3			
91	      H7	3			
92	      H8	3			
93	      H9	3			
94	      H10	3			
95	      H11	3			
96	      H12	3			
1	      A1	4	74,873.008	2,210,939.000	496,315.906
2	      A2	4	72,615.820	2,253,665.500	476,829.156
3	      A3	4	78,508.344	2,364,807.000	529,267.812
4	      A4	4	74,372.523	2,267,101.250	516,689.188
5	      A5	4	79,803.516	2,333,423.750	536,660.625
