* Barcode = NA
* Block Type = Fast 96-Well Block (0.1mL)
* Calibration Background is expired  = No
* Calibration Background performed on = 02-24-2022
* Calibration Normalization FAM-ROX is expired = No
* Calibration Normalization FAM-ROX performed on = 02-24-2022
* Calibration Normalization VIC-ROX is expired = No
* Calibration Normalization VIC-ROX performed on = 02-24-2022
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 02-24-2022
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 02-24-2022
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 02-24-2022
* Calibration ROI is expired  = No
* Calibration ROI performed on = 02-24-2022
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 02-24-2022
* Chemistry = TAQMAN
* Comment = NA
* Date Created = 04-27-2022 15:15:13 PM EDT
* Date Modified = 04-27-2022 16:49:39 PM EDT
* Experiment File Name = D:\Applied Biosystems\QuantStudio 12K Flex Software\User Files\experiments\2022-04-27_TSV_false positive-2.eds
* Experiment Name = 2022-04-27_TSV_false positive-2
* Experiment Run Start Time = 04-27-2022 23:32:50 PM EDT
* Experiment Run Stop Time = 04-28-2022 01:06:17 AM EDT
* Experiment Type = Standard Curve
* Instrument Name = 285881139
* Instrument Serial Number = 285881139
* Instrument Type = QuantStudio 12K Flex
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 1, Step 1
* User Name = NA

[Multicomponent Data]
Well	Well Position	Cycle	ROX	FAM	VIC
1	      A1	2	62,916.328	344,407.375	402,165.000
2	      A2	2	61,507.699	352,073.281	389,627.031
3	      A3	2	60,419.363	359,771.594	426,616.375
4	      A4	2	75,188.773	391,204.656	498,949.500
5	      A5	2	71,108.336	399,066.312	466,484.688
6	      A6	2	65,566.172	387,428.125	444,012.062
7	      A7	2	79,850.641	467,725.438	529,464.688
8	      A8	2	81,422.188	472,417.125	541,491.375
9	      A9	2	80,990.258	476,149.875	532,823.312
10	      A10	2	84,096.984	501,912.438	575,761.375
11	      A11	2	102,193.375	476,636.156	693,136.250
12	      A12	2	94,215.570	451,045.188	660,387.125
13	      B1	2	57,438.977	354,351.156	404,429.438
14	      B2	2	71,273.500	380,147.750	448,389.438
15	      B3	2	74,263.312	428,925.062	497,252.594
16	      B4	2	66,335.484	400,213.156	467,434.906
17	      B5	2	67,082.922	400,573.188	477,872.125
18	      B6	2	72,760.805	433,157.969	512,686.219
19	      B7	2	79,093.938	471,499.281	530,758.000
20	      B8	2	79,222.461	473,952.531	526,627.312
21	      B9	2	76,990.617	471,514.688	546,081.438
22	      B10	2	77,307.648	479,607.469	517,772.625
23	      B11	2	89,808.383	409,181.625	596,659.062
24	      B12	2	104,421.102	507,411.531	656,431.375
25	      C1	2	71,095.203	308,429.062	427,141.469
26	      C2	2	60,951.809	337,391.781	446,473.062
27	      C3	2	62,876.312	355,023.656	426,277.156
28	      C4	2	54,992.914	358,546.094	501,012.094
29	      C5	2	77,287.234	435,430.906	532,867.812
30	      C6	2	66,434.930	407,963.250	524,636.625
31	      C7	2	60,848.320	387,023.312	504,005.969
32	      C8	2	76,594.688	447,053.281	522,378.125
33	      C9	2	75,635.438	443,594.906	525,611.000
34	      C10	2	78,807.328	472,676.656	479,462.500
35	      C11	2	93,293.969	454,190.406	681,915.750
36	      C12	2	98,259.227	479,585.969	637,679.062
37	      D1	2	60,453.734	355,139.156	391,607.156
38	      D2	2	68,076.219	379,388.906	435,145.250
39	      D3	2	62,488.887	347,911.719	435,925.719
40	      D4	2	67,356.680	381,424.875	465,333.406
41	      D5	2	78,909.625	446,621.594	529,011.938
42	      D6	2	76,549.406	445,262.375	523,607.531
43	      D7	2	82,582.336	461,474.562	552,667.688
44	      D8	2	78,164.312	454,010.500	511,745.719
45	      D9	2	78,714.484	461,299.656	518,937.594
46	      D10	2	63,658.570	381,293.531	416,993.469
47	      D11	2	78,210.391	344,141.469	510,581.906
48	      D12	2	83,004.031	430,141.750	540,296.562
49	      E1	2	60,720.445	342,095.594	384,353.844
50	      E2	2	67,508.320	366,542.938	432,347.219
51	      E3	2	65,498.273	364,123.031	431,653.938
52	      E4	2	72,700.344	407,443.594	471,320.531
53	      E5	2	78,242.219	437,905.312	518,984.062
54	      E6	2	85,038.094	422,590.750	594,826.000
55	      E7	2	86,170.688	427,296.188	581,088.875
56	      E8	2	85,062.938	408,859.938	593,550.438
57	      E9	2	81,396.797	414,959.500	576,707.562
58	      E10	2	86,208.156	415,262.625	567,241.938
59	      E11	2	96,490.422	430,645.781	633,776.750
60	      E12	2	96,094.391	456,143.031	632,710.438
61	      F1	2	65,517.910	338,626.906	403,206.750
62	      F2	2	70,931.617	395,242.531	445,521.500
63	      F3	2	64,712.184	353,119.375	433,422.469
64	      F4	2	77,540.727	437,202.594	526,776.625
65	      F5	2	74,462.422	376,427.125	508,291.125
66	      F6	2	84,560.828	417,949.875	589,351.750
67	      F7	2	82,970.062	416,470.312	571,880.688
68	      F8	2	86,746.031	425,954.406	585,606.438
69	      F9	2	77,502.844	350,979.125	561,082.125
70	      F10	2	84,269.055	433,339.375	572,446.688
71	      F11	2			
72	      F12	2			
73	      G1	2	53,586.223	311,645.906	368,188.375
74	      G2	2	68,679.492	349,947.719	417,278.781
75	      G3	2	78,429.734	416,699.625	483,678.219
76	      G4	2	78,255.289	434,473.406	536,356.000
77	      G5	2	78,135.219	430,696.875	535,702.062
78	      G6	2	82,816.898	389,827.844	593,578.250
79	      G7	2	89,109.828	404,075.594	573,464.125
80	      G8	2	93,738.359	425,731.812	604,927.625
81	      G9	2	83,195.156	407,314.312	579,629.438
82	      G10	2	86,053.383	449,326.125	595,244.062
83	      G11	2			
84	      G12	2			
85	      H1	2	55,431.234	345,411.406	369,743.375
86	      H2	2	72,023.719	406,152.938	458,270.781
87	      H3	2	84,263.391	458,629.562	543,216.062
88	      H4	2	85,660.984	466,773.094	516,657.438
89	      H5	2	82,061.516	452,803.344	565,751.125
90	      H6	2	83,974.312	396,187.969	618,075.562
91	      H7	2	78,224.469	347,070.719	594,372.000
92	      H8	2	92,948.852	396,904.312	597,512.562
93	      H9	2	88,766.422	422,471.219	615,964.500
94	      H10	2	82,162.773	401,098.062	581,897.500
95	      H11	2			
96	      H12	2			
1	      A1	3	62,534.098	424,075.375	400,425.312
2	      A2	3	60,834.023	418,793.969	387,213.156
3	      A3	3	59,674.953	438,909.531	424,782.969
4	      A4	3	74,758.281	480,563.500	495,925.938
5	      A5	3	69,485.664	477,402.688	463,103.062
6	      A6	3	64,606.879	476,475.250	440,134.094
7	      A7	3	78,324.539	564,749.188	522,460.750
8	      A8	3	79,765.703	573,777.875	535,422.562
9	      A9	3	79,088.992	579,152.562	525,311.938
10	      A10	3	82,639.492	607,636.312	569,851.750
11	      A11	3	101,451.039	544,418.312	689,588.375
12	      A12	3	93,369.430	517,276.000	660,539.375
13	      B1	3	56,349.434	436,275.906	400,737.031
14	      B2	3	70,165.859	455,766.344	446,619.500
15	      B3	3	73,100.078	511,208.094	492,373.656
16	      B4	3	65,542.516	483,793.125	462,566.312
17	      B5	3	65,616.977	487,331.500	473,621.875
18	      B6	3	71,900.812	530,840.750	507,199.719
19	      B7	3	77,497.766	568,671.875	525,197.938
20	      B8	3	77,790.562	573,552.812	521,508.969
21	      B9	3	75,234.539	574,418.188	540,134.062
22	      B10	3	75,625.336	578,641.750	510,814.594
23	      B11	3	89,221.023	466,058.781	595,362.625
24	      B12	3	103,403.281	577,236.250	656,938.375
25	      C1	3	70,406.812	385,933.312	424,700.188
26	      C2	3	59,960.902	412,545.156	441,704.625
27	      C3	3	62,163.777	427,501.188	422,855.094
28	      C4	3	54,169.059	444,819.875	496,591.906
29	      C5	3	76,169.672	527,363.438	526,895.562
30	      C6	3	64,866.266	506,704.250	518,807.031
31	      C7	3	59,686.879	480,358.094	498,840.375
32	      C8	3	75,517.914	542,128.000	517,379.625
33	      C9	3	74,257.664	539,144.500	519,258.000
34	      C10	3	77,253.453	578,816.000	472,632.125
35	      C11	3	92,552.367	523,274.500	683,540.625
36	      C12	3	97,468.359	547,231.125	639,691.062
37	      D1	3	59,809.746	433,014.188	389,095.969
38	      D2	3	66,979.797	455,292.906	431,512.719
39	      D3	3	61,580.379	423,701.688	431,776.594
40	      D4	3	66,215.734	461,651.750	460,435.438
41	      D5	3	77,830.117	536,440.250	523,033.219
42	      D6	3	75,364.773	547,072.750	518,656.562
43	      D7	3	81,542.398	562,638.312	548,956.000
44	      D8	3	76,630.250	551,693.500	507,513.875
45	      D9	3	77,308.516	555,989.812	512,406.625
46	      D10	3	62,572.645	465,580.312	412,027.219
47	      D11	3	77,888.336	394,460.000	509,282.531
48	      D12	3	82,648.484	491,282.000	543,699.250
49	      E1	3	59,657.266	417,313.812	380,562.719
50	      E2	3	66,569.797	437,646.844	428,764.062
51	      E3	3	64,421.766	435,255.562	428,146.781
52	      E4	3	71,661.000	488,013.438	468,037.219
53	      E5	3	76,687.883	527,402.688	513,419.875
54	      E6	3	86,700.680	491,497.875	618,386.062
55	      E7	3	87,715.672	494,814.594	600,534.812
56	      E8	3	86,561.625	473,288.406	616,932.062
57	      E9	3	83,012.523	484,813.906	597,982.125
58	      E10	3	87,474.828	483,421.812	586,780.688
59	      E11	3	95,983.297	491,877.594	632,205.500
60	      E12	3	95,486.469	526,345.688	637,304.438
61	      F1	3	64,694.648	418,405.312	400,279.562
62	      F2	3	69,652.430	469,372.156	440,517.562
63	      F3	3	63,906.629	428,543.562	429,754.625
64	      F4	3	76,657.859	526,810.688	522,962.031
65	      F5	3	73,314.188	463,152.531	504,298.219
66	      F6	3	85,957.062	482,992.719	608,669.062
67	      F7	3	83,365.094	480,565.375	584,462.375
68	      F8	3	88,235.656	492,606.938	603,968.938
69	      F9	3	78,216.531	414,605.469	577,886.562
70	      F10	3	85,197.992	502,144.688	586,898.188
71	      F11	3			
72	      F12	3			
73	      G1	3	52,460.902	383,905.031	363,789.844
74	      G2	3	69,234.281	423,193.375	416,917.250
75	      G3	3	77,552.250	498,571.281	481,193.625
76	      G4	3	77,499.750	524,199.188	531,884.375
77	      G5	3	76,672.250	521,074.719	532,333.750
78	      G6	3	84,364.070	455,057.906	617,131.500
79	      G7	3	90,081.328	467,164.500	590,391.000
80	      G8	3	95,861.930	492,621.875	622,761.125
81	      G9	3	84,585.250	475,409.688	599,639.312
82	      G10	3	86,579.828	521,816.031	612,268.062
83	      G11	3			
84	      G12	3			
85	      H1	3	54,119.312	418,990.062	365,424.562
86	      H2	3	70,602.625	489,635.844	454,303.594
87	      H3	3	83,116.711	556,111.125	540,311.250
88	      H4	3	84,489.398	556,535.062	512,944.625
89	      H5	3	80,201.945	548,979.500	562,005.438
90	      H6	3	84,640.633	461,606.438	630,170.875
91	      H7	3	78,802.086	408,122.344	603,233.062
92	      H8	3	93,626.547	455,592.094	607,336.438
93	      H9	3	89,332.453	487,602.844	626,225.875
94	      H10	3	82,154.844	465,472.750	588,232.312
95	      H11	3			
96	      H12	3			
1	      A1	4	63,068.742	529,001.750	408,511.625
2	      A2	4	60,863.758	498,265.312	389,539.500
3	      A3	4	59,875.078	537,619.750	430,595.000
4	      A4	4	74,964.406	590,034.750	500,253.031
5	      A5	4	69,469.047	570,634.625	466,520.344
6	      A6	4	63,343.266	576,214.250	435,987.156
7	      A7	4	77,101.680	670,735.625	515,342.094
8	      A8	4	78,733.180	686,474.688	529,406.250
9	      A9	4	78,017.039	691,603.125	518,331.906
10	      A10	4	82,134.555	725,831.812	566,259.438
11	      A11	4	100,711.789	615,117.375	687,738.812
12	      A12	4	92,939.242	588,123.562	663,020.875
13	      B1	4	55,823.004	527,439.188	398,198.531
14	      B2	4	69,275.492	538,301.938	443,502.938
15	      B3	4	71,895.781	602,307.312	488,975.531
16	      B4	4	65,005.559	576,468.875	458,956.156
17	      B5	4	64,921.855	583,837.375	468,925.469
18	      B6	4	70,606.656	639,787.062	502,716.969
19	      B7	4	76,500.492	674,365.875	518,926.750
20	      B8	4	76,545.883	684,603.812	515,636.812
21	      B9	4	73,978.211	686,649.500	533,411.375
22	      B10	4	74,882.141	690,095.938	504,363.469
23	      B11	4	88,337.102	524,689.500	594,565.188
24	      B12	4	103,213.852	651,698.062	659,603.562
25	      C1	4	69,733.195	471,670.438	422,624.719
26	      C2	4	59,027.477	494,915.781	437,023.375
27	      C3	4	61,370.875	506,698.750	419,281.969
28	      C4	4	52,954.129	540,404.875	492,082.344
29	      C5	4	74,995.641	629,606.375	521,470.562
30	      C6	4	63,836.395	614,037.562	513,010.562
31	      C7	4	58,692.801	583,422.250	494,288.562
32	      C8	4	74,065.453	647,127.812	512,293.125
33	      C9	4	72,887.742	642,547.688	512,083.719
34	      C10	4	75,971.719	696,697.812	466,120.719
35	      C11	4	91,749.805	593,377.188	682,633.188
36	      C12	4	97,388.484	617,283.000	641,828.188
37	      D1	4	58,811.398	520,660.844	386,272.344
38	      D2	4	66,090.688	539,332.750	427,573.406
39	      D3	4	60,496.102	507,905.188	427,761.031
40	      D4	4	65,420.789	548,075.438	455,916.000
41	      D5	4	76,614.516	632,933.125	517,670.156
42	      D6	4	74,422.703	658,440.625	512,888.625
43	      D7	4	80,520.023	670,793.500	543,624.375
44	      D8	4	75,128.039	659,141.688	502,385.219
45	      D9	4	76,545.258	658,710.938	505,557.125
46	      D10	4	61,231.109	558,457.375	406,775.000
47	      D11	4	77,498.734	445,982.969	506,810.250
48	      D12	4	82,023.195	555,508.375	546,507.188
49	      E1	4	58,597.367	499,174.844	376,556.000
50	      E2	4	65,802.766	517,181.812	425,302.875
51	      E3	4	63,619.559	514,355.094	425,640.781
52	      E4	4	70,856.680	575,751.125	464,152.844
53	      E5	4	75,417.086	625,148.938	507,248.406
54	      E6	4	88,261.820	561,425.562	639,879.375
55	      E7	4	89,249.086	564,487.375	620,700.938
56	      E8	4	88,154.633	541,049.625	641,059.438
57	      E9	4	84,211.688	555,841.375	616,591.875
58	      E10	4	88,448.977	555,384.750	607,572.125
59	      E11	4	95,391.695	554,196.000	631,104.000
60	      E12	4	94,752.055	599,994.000	642,160.375
61	      F1	4	63,894.250	505,481.500	397,551.625
62	      F2	4	68,813.484	548,950.125	435,910.469
63	      F3	4	63,287.449	511,604.375	426,288.750
64	      F4	4	75,346.812	624,451.000	517,448.750
65	      F5	4	72,768.945	559,071.125	500,725.219
66	      F6	4	87,027.242	550,165.875	626,341.750
67	      F7	4	83,835.312	547,053.688	596,842.125
68	      F8	4	89,163.359	561,190.625	620,272.625
69	      F9	4	78,506.109	477,612.594	591,800.375
70	      F10	4	85,300.258	572,681.750	598,934.500
71	      F11	4			
72	      F12	4			
73	      G1	4	51,240.746	462,331.750	360,120.281
74	      G2	4	70,437.148	503,128.844	415,030.562
75	      G3	4	76,368.523	587,415.938	478,647.812
76	      G4	4	77,157.836	621,629.875	528,007.188
77	      G5	4	75,703.492	619,169.688	528,521.188
78	      G6	4	86,074.922	523,580.719	642,328.250
